Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Peanut sago vada (Sabudana mungfali vada),Maharashtra,Snack (Fried),Veg,"A vegetarian snack from Maharashtra typically made with sago/tapioca pearls, peanut.","Sago/Tapioca Pearls, Peanut",,749.89,1.01,7.14,79.82,0.19,0.62,71.29,5.03,0.38,9.74,15.66,"Sago/Tapioca Pearls, Peanut, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Sago/Tapioca Pearls (Balances doshas when eaten fresh and in moderation); Peanut (Guru, Ushna, energy dense); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Sago cutlet/vadas (Sabudana cutlet/vadas),Maharashtra,Snack (Fried),Veg,A vegetarian snack from Maharashtra typically made with sago/tapioca pearls.,Sago/Tapioca Pearls,,558.76,0.56,11.23,56.97,0.1,0.54,48.17,5.43,0.38,13.39,9.09,"Sago/Tapioca Pearls, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Sago/Tapioca Pearls (Balances doshas when eaten fresh and in moderation); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Sago khitchdi/khichri (Sabudana khitchdi/khichri),Maharashtra,Rice Dish,Veg,A vegetarian rice dish from Maharashtra typically made with sago/tapioca pearls.,Sago/Tapioca Pearls,,187.16,2.72,22.41,10.1,1.03,1.82,100.26,15.13,0.86,13.41,34.18,"Sago/Tapioca Pearls, Rice, Oil/Ghee, Whole Spices, Salt","Sago/Tapioca Pearls (Balances doshas when eaten fresh and in moderation); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Boti kebab,Mughlai / North Indian (Pan-regional),Snack/Starter (Grilled),Non-Veg,A vegetarian snack/starter from Mughlai / North Indian.,Mutton,,132.86,9.22,3.06,9.27,2.09,0.76,78.14,98.67,1.41,4.52,6.58,"Mutton, Yogurt, Ginger-Garlic Paste, Spices, Oil","Mutton (Guru, Ushna, heavy and warming); Yogurt (Amla, Guru, sour and cooling in moderation); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Spices (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata)"
Chicken kebab,Mughlai / North Indian (Pan-regional),Snack/Starter (Grilled),Non-Veg,A non-vegetarian snack/starter from Mughlai / North Indian typically made with chicken.,Chicken,,729.41,3.71,1.11,78.89,0.24,0.21,69.76,3.46,0.28,0.41,3.83,"Chicken, Yogurt, Ginger-Garlic Paste, Spices, Oil","Chicken (Guru, Ushna, builds strength); Yogurt (Amla, Guru, sour and cooling in moderation); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Spices (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata)"
Chicken korma,Mughlai / North Indian (Pan-regional),Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy from Mughlai / North Indian typically made with chicken.,Chicken,,147.96,9.83,5.43,9.67,3.32,1.82,119.21,68.66,1.06,10.02,58.86,"Chicken, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chicken (Guru, Ushna, builds strength); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Mutton biryani/biriyani,Mughlai / North Indian (Pan-regional),Rice Dish,Non-Veg,A non-vegetarian rice dish from Mughlai / North Indian typically made with mutton.,Mutton,,190.76,7.38,22.5,7.72,2.39,2.42,262.64,68.58,1.29,10.28,30.07,"Mutton, Rice, Oil/Ghee, Whole Spices, Salt","Mutton (Guru, Ushna, heavy and warming); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Mutton korma,Mughlai / North Indian (Pan-regional),Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy from Mughlai / North Indian typically made with mutton.,Mutton,,115.64,7.09,2.53,8.54,1.64,0.78,56.94,79.07,1.09,5.54,31.82,"Mutton, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Mutton (Guru, Ushna, heavy and warming); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Mutton seekh kebab,Mughlai / North Indian (Pan-regional),Snack/Starter (Grilled),Non-Veg,A non-vegetarian snack/starter from Mughlai / North Indian typically made with mutton.,Mutton,,133.94,11.25,3.11,8.43,1.4,1.88,102.17,117.44,2.19,3.97,5.3,"Mutton, Yogurt, Ginger-Garlic Paste, Spices, Oil","Mutton (Guru, Ushna, heavy and warming); Yogurt (Amla, Guru, sour and cooling in moderation); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Spices (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata)"
Paneer makhana korma,Mughlai / North Indian (Pan-regional),Curry/Gravy,Veg,A vegetarian curry/gravy from Mughlai / North Indian typically made with paneer.,Paneer,,775.82,3.24,4.63,82.76,1.84,0.21,77.01,72.89,0.55,0.64,94.26,"Paneer, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Paneer (Guru, Snigdha, cooling and nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Shammi kebab,Mughlai / North Indian (Pan-regional),Snack/Starter (Grilled),Non-Veg,A non-vegetarian snack/starter from Mughlai / North Indian.,Minced Meat,,685.69,4.52,3.54,72.61,0.31,1.05,54.27,13.11,0.75,1.64,20.55,"Minced Meat, Yogurt, Ginger-Garlic Paste, Spices, Oil","Minced Meat (Balances doshas when eaten fresh and in moderation); Yogurt (Amla, Guru, sour and cooling in moderation); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Spices (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata)"
Soya chunks korma (Nutrinugget korma),Mughlai / North Indian (Pan-regional),Curry/Gravy,Veg,A vegetarian curry/gravy from Mughlai / North Indian typically made with soybean.,Soybean,,131.43,3.86,7.67,9.5,4.66,2.57,148.98,89.7,1.18,11.59,49.69,"Soybean, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Soybean (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Soya seekh kebab,Mughlai / North Indian (Pan-regional),Snack/Starter (Grilled),Veg,A vegetarian snack/starter from Mughlai / North Indian typically made with soybean.,Soybean,,115.05,5.4,10.0,5.88,0.51,2.24,92.25,15.67,1.26,8.56,14.38,"Soybean, Yogurt, Ginger-Garlic Paste, Spices, Oil","Soybean (Balances doshas when eaten fresh and in moderation); Yogurt (Amla, Guru, sour and cooling in moderation); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Spices (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata)"
Vegetable biryani/biriyani,Mughlai / North Indian (Pan-regional),Rice Dish,Veg,A vegetarian rice dish from Mughlai / North Indian.,Mixed Vegetables,,174.61,3.16,18.56,9.51,2.14,3.31,183.79,33.52,0.86,39.35,77.54,"Mixed Vegetables, Rice, Oil/Ghee, Whole Spices, Salt","Mixed Vegetables (Balances doshas when eaten fresh and in moderation); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Vegetable seekh kebab,Mughlai / North Indian (Pan-regional),Snack/Starter (Grilled),Veg,A vegetarian snack/starter from Mughlai / North Indian.,Mixed Vegetables,,690.73,1.57,5.32,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84,"Mixed Vegetables, Yogurt, Ginger-Garlic Paste, Spices, Oil","Mixed Vegetables (Balances doshas when eaten fresh and in moderation); Yogurt (Amla, Guru, sour and cooling in moderation); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Spices (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata)"
Afghani chicken,Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy typically made with chicken.,Chicken,,151.51,15.66,1.95,9.07,0.83,0.31,87.02,35.14,1.04,3.54,20.52,"Chicken, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chicken (Guru, Ushna, builds strength); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Al yakhani,Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,A vegetarian curry/gravy.,Mutton,,147.54,2.86,4.65,13.14,3.56,1.27,206.24,103.88,0.46,5.41,60.75,"Mutton, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Mutton (Guru, Ushna, heavy and warming); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Amaranth ladoo (Rajgira ladoo),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet.,Amaranth,,454.15,10.12,51.33,22.7,19.92,5.11,7.51,144.58,6.47,0.03,9.52,"Amaranth, Sugar, Ghee, Milk/Khoya, Cardamom","Amaranth (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Apple and honey sorbet (Seb aur shehad ka sharbat),Pan-India / General Home Cooking,Beverage (Juice/Cooler),Veg,"A vegetarian beverage typically made with apple, honey.","Apple, Honey",,121.3,0.15,30.74,0.29,29.18,1.13,1.97,9.11,0.18,5.08,2.68,"Apple, Honey, Water, Sugar, Ice","Apple (Laghu, Shita, cooling and light); Honey (Ushna, Laghu, scrapes Kapha); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation)"
Apple crumb pudding,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with apple.,Apple,,220.85,1.54,35.17,8.87,27.69,1.33,59.36,38.49,1.05,3.6,7.86,"Apple, Milk, Sugar, Egg, Cornflour","Apple (Laghu, Shita, cooling and light); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Apple jam (Seb ka murabba),Pan-India / General Home Cooking,Pickle/Preserve,Veg,A vegetarian pickle/preserve typically made with apple.,Apple,,188.79,0.14,48.56,0.32,46.76,1.29,2.71,10.84,0.21,,,"Apple, Oil, Mustard Seeds, Turmeric, Red Chilli Powder, Salt","Apple (Laghu, Shita, cooling and light); Oil (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes)"
Apple jelly (Seb ki jelly),Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with apple.,Apple,,152.13,0.1,39.37,0.21,38.18,0.86,2.14,7.89,0.15,,,"Apple, Milk, Sugar, Egg, Cornflour","Apple (Laghu, Shita, cooling and light); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Apple kheer (Seb ki kheer),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with apple.,Apple,,81.3,2.14,11.34,3.18,10.71,0.51,15.86,75.67,0.18,5.82,16.4,"Apple, Sugar, Ghee, Milk/Khoya, Cardamom","Apple (Laghu, Shita, cooling and light); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Apple oats chia seed smoothie,Pan-India / General Home Cooking,Beverage (Milkshake/Smoothie),Veg,"A vegetarian beverage typically made with oats, apple.","Oats, Apple",,85.64,3.49,13.07,2.48,5.76,1.44,32.02,88.89,0.5,5.39,71.4,"Oats, Apple, Milk, Sugar, Ice, Water","Oats (Balances doshas when eaten fresh and in moderation); Apple (Laghu, Shita, cooling and light); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation); Water (Balances doshas when eaten fresh and in moderation)"
Apple snowballs,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert typically made with apple.,Apple,,101.51,0.86,24.58,0.31,19.4,1.25,12.8,9.43,0.18,4.46,4.64,"Apple, Milk, Sugar, Egg, Cornflour","Apple (Laghu, Shita, cooling and light); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Apricot fool,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert.,Apricot,,240.79,1.54,33.64,11.35,21.29,1.0,8.28,26.37,0.73,1.47,11.46,"Apricot, Milk, Sugar, Egg, Cornflour","Apricot (Balances doshas when eaten fresh and in moderation); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Arhar with spinach (Arhar dal aur palak),Pan-India / General Home Cooking,Curry/Gravy,Veg,"A vegetarian curry/gravy typically made with toor dal, spinach.","Toor Dal, Spinach",,52.84,2.05,4.77,2.76,0.23,1.3,109.97,21.81,0.89,18.79,105.9,"Toor Dal, Spinach, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Toor Dal (Laghu, protein-rich, balances Kapha); Spinach (Laghu, cooling, iron-rich); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Assorted pastry,Pan-India / General Home Cooking,Bakery (Cake/Pastry),Veg,A vegetarian bakery.,Wheat Flour,,230.74,6.78,31.99,8.91,19.7,0.43,49.99,47.2,0.94,0.25,15.61,"Wheat Flour, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Wheat Flour (Guru, nourishing, grounds Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Atta dal burfi,Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with whole wheat flour.,Whole Wheat Flour,,298.8,6.66,40.64,12.47,21.08,4.08,3.56,17.07,1.56,0.0,9.07,"Whole Wheat Flour, Sugar, Ghee, Milk/Khoya, Cardamom","Whole Wheat Flour (Guru, nourishing, grounds Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Baked egg,Pan-India / General Home Cooking,Curry/Gravy,Egg (Ovo-Veg),A egg-based curry/gravy typically made with egg.,Egg,,218.85,11.88,15.42,12.65,1.66,1.03,523.29,164.05,1.48,0.0,35.72,"Egg, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Egg (Guru, Ushna, builds strength, use moderately for Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Baked potato with skin,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with potato.,Potato,,135.77,3.43,11.11,8.5,1.66,1.2,354.5,90.06,0.5,11.88,9.99,"Potato, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Potato (Guru, Vata aggravating in excess); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Baked stuffed fish,Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy typically made with fish.,Fish,,121.96,16.14,2.12,5.43,0.35,0.38,74.36,18.8,0.35,13.01,67.06,"Fish, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Fish (Guru, Ushna, nourishing, best fresh); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Baked vegetables,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Mixed Vegetables,,88.99,3.67,8.44,4.44,2.56,2.34,124.7,80.2,0.62,47.05,77.19,"Mixed Vegetables, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Mixed Vegetables (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Baked vegetables with spinach,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with spinach.,Spinach,,77.79,3.22,6.93,4.03,2.09,2.33,122.85,78.63,1.16,78.95,223.29,"Spinach, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Spinach (Laghu, cooling, iron-rich); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Banana chips (Kele ke chips),Pan-India / General Home Cooking,Snack (Fried),Veg,A vegetarian snack typically made with banana.,Banana,,665.67,0.37,7.32,70.46,4.37,0.65,86.87,2.01,0.19,4.03,8.97,"Banana, Gram Flour (Besan)/Refined Flour, Oil (for frying), Spices, Salt","Banana (Guru, Shita, grounding); Gram Flour (Besan)/Refined Flour (Guru, heavier to digest, best in moderation); Oil (for frying) (Snigdha, unctuous, balances Vata); Spices (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes)"
Banana groundnut paste/puree,Pan-India / General Home Cooking,Dessert (Souffle/Custard/Pudding),Veg,"A vegetarian dessert typically made with banana, peanut.","Banana, Peanut",,213.19,4.27,36.15,5.45,31.67,1.7,16.85,74.93,1.9,3.02,20.9,"Banana, Peanut, Milk, Sugar, Egg, Cornflour","Banana (Guru, Shita, grounding); Peanut (Guru, Ushna, energy dense); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Banana raita (Kele ka raita),Pan-India / General Home Cooking,Curry/Side (Raita),Veg,A vegetarian curry/side typically made with banana.,Banana,,89.03,4.13,13.51,2.07,10.11,1.0,135.43,133.23,0.31,5.73,27.58,"Banana, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Yogurt, Roasted Cumin Powder, Coriander Leaves","Banana (Guru, Shita, grounding); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Yogurt (Amla, Guru, sour and cooling in moderation); Roasted Cumin Powder (Ushna, kindles Agni, eases digestion); Coriander Leaves (Shita, cooling, soothes Pitta)"
Bathua bhujia,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Bathua (Pigweed),,90.9,2.26,3.63,7.29,1.08,3.8,81.99,165.84,2.36,66.6,71.68,"Bathua (Pigweed), Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Bathua (Pigweed) (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Bathua poori,Pan-India / General Home Cooking,Bread/Roti,Veg,A vegetarian bread/roti.,Bathua (Pigweed),,598.79,2.35,13.85,59.14,0.41,1.87,49.71,30.83,0.96,4.56,8.77,"Bathua (Pigweed), Wheat Flour, Salt, Water, Oil/Ghee","Bathua (Pigweed) (Balances doshas when eaten fresh and in moderation); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
